"Footprint","Part Value","LCSC Part"
"0603-ARC-LONG","180","C11998"
"6410-04","22-27-2041","C2935910"
"C0603","1uF","C15849"
"CP_Elec_6.3x3.9","22uF","C445045"
"CP_Elec_8x10","150uF/16V","C3274604"
"C_0603_1608Metric","3.3nF","C1613"
"C_0603_1608Metric","10nF","C57112"
"C_0603_1608Metric","3.9nF","C1618"
"C_0603_1608Metric","100nF","C14663"
"C_0805_2012Metric","100nF","C49678"
"C_0805_2012Metric","470pF","C1743"
"C_0805_2012Metric","1uF","C28323"
"C_0805_2012Metric","22pF","C1804"
"C_0805_2012Metric","10µF","C15850"
"C_0805_2012Metric","22µF","C45783"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","100nF","C49678"
"C_1206_3216Metric","10uF","C13585"
"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","10uF","C13585"
"C_Elec_5x5.4","22uF","C401783"
"FanPinHeader_1x04_P2.54mm_Vertical","FAN 12V PWM","C240840"
"Fuse_1806_4516Metric_Pad1.57x1.80mm_HandSolder","Ferrite_Bead_Small","C88998"
"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","Fuse","C516067"
"IDC-Header_2x07_P2.54mm_Vertical","Conn_02x07_Odd_Even","C132432"
"ISA-16_S","~","C2922447"
"JTAG-Header_2x05_P2.54mm_Vertical","2x05","C429962"
"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","LED_Small","C434438"
"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","LED_Small_Green","C434442"
"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","LED_Small_Red","C434438"
"L_Bourns_SRP7028A_7.3x6.6mm","10µH","C208101"
"MSOP-10_3x3mm_P0.5mm","LTC2990","C107804"
"MSOP-10_3x3mm_P0.5mm","LTC 2990","C107804"
"Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical","ATX Power","C492538"
"Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical","ATX Power (alt)","C492538"
"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm","12MHz / 5V","C386965"
"PGA226","MC68060","C9900095602"
"PinHeader_1x01_P2.54mm_Vertical","/FAIL","C492400"
"PinHeader_1x02_P2.54mm_Vertical","TEMP1","C358684"
"PinHeader_1x02_P2.54mm_Vertical","5V","C358684"
"PinHeader_1x02_P2.54mm_Vertical","12V","C358684"
"PinHeader_1x02_P2.54mm_Vertical","Disable_ICY","C358684"
"PinHeader_1x02_P2.54mm_Vertical","PS_ON","C358684"
"PinHeader_1x02_P2.54mm_Vertical","Jumper_2_Open","C358684"
"PinHeader_1x03_P2.54mm_Horizontal","Jumper_NO_Small","C722746"
"PinHeader_1x03_P2.54mm_Vertical","POWER_I2C1","C7430359"
"PinHeader_1x03_P2.54mm_Vertical","POWER_I2C2","C7430359"
"PinHeader_1x03_P2.54mm_Vertical","PWR_SW_Select","C7430359"
"PinHeader_1x03_P2.54mm_Vertical","Jumper_NO_Small","C429954"
"PinHeader_1x03_P2.54mm_Vertical","Jumper_3_Open","C429954"
"PinHeader_2x40_P1.27mm_Vertical","Conn_02x40_Odd_Even","C124356"
"PinHeader_2x40_P1.27mm_Vertical_CN3","Conn_02x40_Odd_Even","C124356"
"QSOP-16_3.9x4.9mm_P0.635mm","MAX31760","C3031567"
"R_0603_1608Metric","100k","C25803"
"R_0603_1608Metric","26.1k*","C23356"
"R_0603_1608Metric","6.8k","C23212"
"R_0603_1608Metric","10k","C25804"
"R_0603_1608Metric","27.0k","C22967"
"R_0603_1608Metric","27.4k","C321828"
"R_0603_1608Metric","28.0k","C22989"
"R_0805_2012Metric","470 (DNP w/ fixed reg)","C17710"
"R_0805_2012Metric","600 (0 w/ fixed reg)","C17777"
"R_0805_2012Metric","4.7k","C17673"
"R_0805_2012Metric","1k","C17513"
"R_0805_2012Metric","30,1k 0,1%","C2984455"
"R_0805_2012Metric","10.0k 0.1%","C406725"
"R_0805_2012Metric","10k","C17414"
"R_0805_2012Metric","20k","C4328"
"R_0805_2012Metric","330","C17630"
"R_0805_2012Metric","470","C17710"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4k7","C17673"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10k","C17414"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k","C17513"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","33","C17634"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k2","C17379"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","100","C17408"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","680","C17798"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","120","C17437"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9k 0.1%","C2828721"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k 0.1%","C110774"
"R_1206_3216Metric","60Ohm@100Mhz","C74489"
"R_Array_Concave_4x0603","4.7k","C1980"
"R_Array_Concave_4x0603","180","C102652"
"R_Array_Concave_4x0603","1k","C20197"
"R_Array_Convex_4x0603","1k","C20197"
"R_Array_Convex_4x0603","22","C12008"
"R_Array_Convex_4x0603","1nF","C62856"
"SLOTVIDEOAGACN621","SLOT_36","C5173302"
"SLOTVIDEOAGACN622_56Pin","SLOT_54","C5173309"
"SLOT_100","~","C5173320"
"SO-14_3.9x8.65mm_P1.27mm","74HCT32","C6781"
"SOIC-14_3.9x8.7mm_P1.27mm","7407","C40481"
"SOIC-20W_7.5x12.8mm_P1.27mm","PCF8584T","C7442"
"SOIC-24W_7.5x15.4mm_P1.27mm","74FCT543A","C2863309"
"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm","MP2307","C18921"
"SOT-223","LD117AS33TR","C115288"
"SOT-23","MMBT3904","C20526"
"SOT-23-5","VRH2851NTX","C697994"
"SOT-23-6","74LVC2G17","C7394037"
"TO-252-3_TabPin2","NCP1117-2.85/-ADJ","C233409"
"TQFP-144_20x20mm_P0.5mm","XC95144XL-TQ144","C1521137"
"TSOP-5_1.65x3.05mm_P0.95mm","BU4942","C2067989"
"TSSOP-20_4.4x6.5mm_P0.65mm","SN74CB3T3245PW","C15298"
"TSSOP-20_4.4x6.5mm_P0.65mm","PCF8574TS","C57790"
"TSSOP-8_3x3mm_P0.65mm","74LVC1G74","C458768"
"VQFP64","XC9572XL-VQ64","C90569"
